transaction_id,customer_id,amount,transaction_hour,transaction_day,location,transaction_type,transaction_freq_7d,avg_amount_7d,amount_deviation,is_night,is_weekend,is_fraud
TXN745670720,CUST1900185,429.43,13,3,urban,online,12,312.74,0.3731,0,0,0
TXN673657613,CUST5325529,242.77,16,6,urban,pos,14,295.38,-0.1781,0,1,0
TXN135145591,CUST7533978,211.22,18,3,urban,pos,1,286.71,-0.2633,0,0,0
TXN278462675,CUST7575817,282.06,18,3,suburban,online,8,199.03,0.4172,0,0,0
TXN747727672,CUST5630081,318.03,13,1,rural,online,1,296.01,0.0744,0,0,0
TXN388470901,CUST9441263,238.34,9,4,urban,online,16,165.54,0.4397,0,0,0
TXN949912299,CUST4459703,242.4,10,1,online,pos,4,348.98,-0.3054,0,0,0
TXN657774672,CUST9623547,6632.57,22,1,international,online,4,8948.58,-0.2588,0,0,1
TXN818491514,CUST3232245,878.33,11,5,suburban,pos,11,767.82,0.1439,0,1,0
TXN874633271,CUST3835941,332.26,19,6,urban,atm,7,494.52,-0.3281,0,1,0
TXN581815155,CUST6030831,219.96,16,5,online,wire_transfer,19,248.84,-0.1161,0,1,0
TXN185314227,CUST5925012,39.14,15,2,rural,contactless,9,55.59,-0.2959,0,0,0
TXN479136343,CUST9152239,1144.75,16,2,online,pos,14,976.0,0.1729,0,0,0
TXN233412550,CUST2536491,838.08,9,2,suburban,online,10,470.99,0.7794,0,0,0
TXN611718290,CUST2857326,775.84,19,5,suburban,pos,4,545.57,0.4221,0,1,0
TXN246851497,CUST1151079,530.7,19,2,urban,pos,18,693.91,-0.2352,0,0,0
TXN698268826,CUST3150186,199.69,8,0,urban,online,5,279.65,-0.2859,0,0,0
TXN942033900,CUST3391800,286.87,13,6,urban,pos,15,284.66,0.0077,0,1,0
TXN976941251,CUST5312413,285.74,16,1,online,atm,19,263.08,0.0861,0,0,0
TXN339229863,CUST8598383,69.51,19,1,rural,pos,16,46.08,0.5083,0,0,0
TXN735210072,CUST5957337,130.18,14,0,urban,atm,14,120.77,0.0779,0,0,0
TXN192835565,CUST5995544,653.79,13,2,urban,pos,12,732.68,-0.1077,0,0,0
TXN667798091,CUST6091754,892.48,18,3,urban,contactless,7,1031.74,-0.135,0,0,0
TXN903629713,CUST3740025,360.41,18,5,rural,online,10,461.18,-0.2185,0,1,0
TXN466889149,CUST4910566,145.51,18,1,urban,online,10,143.1,0.0169,0,0,0
TXN528721693,CUST3674635,148.19,15,5,suburban,online,2,186.66,-0.2061,0,1,0
TXN414715328,CUST4446095,249.93,10,3,suburban,pos,5,212.45,0.1764,0,0,0
TXN165368757,CUST2943748,1134.76,14,5,urban,atm,1,1470.45,-0.2283,0,1,0
TXN452897049,CUST8067871,218.47,12,3,suburban,pos,2,215.3,0.0147,0,0,0
TXN226408852,CUST4140658,584.33,17,3,urban,online,5,455.13,0.2839,0,0,0
TXN765198041,CUST2576205,1471.43,9,6,online,pos,12,1925.11,-0.2357,0,1,0
TXN984335902,CUST9084732,92.38,17,6,online,pos,13,50.27,0.8376,0,1,0
TXN362516865,CUST5968971,125.43,19,4,rural,pos,2,105.33,0.1909,0,0,0
TXN471030922,CUST9449662,298.64,20,1,urban,pos,1,250.53,0.192,0,0,0
TXN862809556,CUST9132894,242.11,21,0,urban,wire_transfer,14,157.49,0.5373,0,0,0
TXN312684886,CUST5247066,277.69,18,5,online,pos,17,214.11,0.297,0,1,0
TXN975445566,CUST4505502,5107.79,23,5,international,online,4,5223.13,-0.0221,0,1,1
TXN865784325,CUST3781758,727.93,14,4,suburban,online,3,657.35,0.1074,0,0,0
TXN242894170,CUST9947969,101.71,18,3,urban,pos,18,84.84,0.1988,0,0,0
TXN349856012,CUST3235500,2162.12,20,4,urban,online,19,2108.97,0.0252,0,0,0
TXN835919295,CUST4029100,216.16,10,2,urban,pos,19,156.45,0.3817,0,0,0
TXN360215413,CUST3200517,210.15,11,3,online,online,10,310.84,-0.3239,0,0,0
TXN935414909,CUST4300253,62.39,12,5,suburban,online,14,80.39,-0.2239,0,1,0
TXN422739055,CUST8301980,564.44,9,2,online,atm,10,331.57,0.7023,0,0,0
TXN570294801,CUST3383357,146.12,8,3,urban,online,6,106.01,0.3783,0,0,0
TXN542014318,CUST3732658,258.86,21,4,online,wire_transfer,17,352.53,-0.2657,0,0,0
TXN497727953,CUST9351773,97.87,15,0,urban,atm,19,78.56,0.2459,0,0,0
TXN521371533,CUST8645084,612.55,8,6,rural,contactless,17,578.76,0.0584,0,1,0
TXN788154713,CUST6863420,170.65,16,0,international,wire_transfer,2,234.99,-0.2738,0,0,0
TXN730317848,CUST5386800,386.35,8,3,urban,atm,17,406.77,-0.0502,0,0,0
TXN196454573,CUST6850433,322.92,12,6,international,online,11,431.91,-0.2523,0,1,0
TXN392307872,CUST5522816,1186.48,14,4,online,online,7,1477.5,-0.197,0,0,0
TXN854514438,CUST3896608,416.55,10,3,online,pos,7,484.06,-0.1395,0,0,0
TXN686846320,CUST1923229,437.92,13,1,urban,pos,8,260.07,0.6838,0,0,0
TXN512875438,CUST8523375,356.59,8,2,urban,pos,11,322.68,0.1051,0,0,0
TXN432047661,CUST8022877,226.68,22,2,international,online,3,305.92,-0.259,0,0,1
TXN942729183,CUST5557814,234.47,14,5,urban,atm,14,270.83,-0.1342,0,1,0
TXN449880385,CUST8314916,336.78,12,3,online,online,12,372.51,-0.0959,0,0,0
TXN548090723,CUST4181030,54.18,10,0,online,atm,1,55.58,-0.0253,0,0,0
TXN743509711,CUST3585702,297.83,8,4,online,atm,6,263.08,0.1321,0,0,0
TXN957638188,CUST7931631,90.75,20,0,rural,pos,1,109.12,-0.1683,0,0,0
TXN129669064,CUST7153019,911.47,16,2,online,pos,13,545.96,0.6695,0,0,0
TXN715147064,CUST7283720,429.21,15,5,rural,online,7,436.52,-0.0167,0,1,0
TXN233998773,CUST4259207,202.42,16,5,online,pos,2,268.31,-0.2456,0,1,0
TXN367506891,CUST6299841,178.98,11,1,urban,contactless,4,162.88,0.0988,0,0,0
TXN828186745,CUST6780848,123.03,12,6,urban,pos,3,153.72,-0.1996,0,1,0
TXN280439166,CUST1882829,167.71,15,1,urban,online,5,191.58,-0.1246,0,0,0
TXN728597013,CUST7451167,820.53,9,1,urban,pos,18,929.08,-0.1168,0,0,0
TXN453946877,CUST4225950,77.33,20,6,urban,pos,4,90.48,-0.1454,0,1,0
TXN431279650,CUST9689538,129.96,20,4,urban,contactless,14,146.76,-0.1145,0,0,0
TXN339296960,CUST4358042,143.6,16,3,urban,contactless,7,170.6,-0.1583,0,0,0
TXN638526323,CUST6526020,67.44,19,2,urban,pos,13,71.25,-0.0535,0,0,0
TXN939670865,CUST3312908,2547.56,22,2,international,online,3,1472.9,0.7296,0,0,1
TXN207304553,CUST8280912,407.78,16,6,online,online,11,474.49,-0.1406,0,1,0
TXN734280837,CUST1137770,195.26,17,3,urban,pos,4,280.68,-0.3043,0,0,0
TXN831754140,CUST1472852,109.75,20,2,rural,contactless,5,143.39,-0.2345,0,0,0
TXN554749913,CUST3051279,400.3,9,0,urban,pos,11,544.02,-0.2642,0,0,0
TXN727446761,CUST8038011,687.75,20,2,rural,atm,18,598.95,0.1483,0,0,0
TXN742010707,CUST4283927,270.93,18,3,rural,pos,18,169.78,0.5957,0,0,0
TXN367297336,CUST3088265,377.22,13,0,suburban,pos,17,200.43,0.8821,0,0,0
TXN389839634,CUST2401012,144.48,8,5,urban,pos,16,176.73,-0.1825,0,1,0
TXN322989171,CUST7194233,525.94,14,1,suburban,online,9,785.38,-0.3303,0,0,0
TXN550193496,CUST4794349,63.21,16,5,suburban,online,13,37.41,0.6898,0,1,0
TXN548275992,CUST2840294,509.44,12,5,rural,pos,9,758.79,-0.3286,0,1,0
TXN514301790,CUST5672339,1588.73,9,3,online,atm,15,2163.37,-0.2656,0,0,0
TXN169331303,CUST2905592,36.99,14,3,urban,contactless,13,45.33,-0.184,0,0,0
TXN593434808,CUST4088725,1611.6,11,4,online,contactless,19,931.81,0.7295,0,0,0
TXN734930021,CUST6065387,6085.84,3,2,international,online,3,4361.24,0.3954,1,0,1
TXN641788510,CUST5821094,227.74,15,3,online,atm,7,201.5,0.1302,0,0,0
TXN804076337,CUST1958992,569.18,14,3,urban,pos,11,356.23,0.5978,0,0,0
TXN762669002,CUST5096430,158.65,14,0,suburban,contactless,1,225.18,-0.2954,0,0,0
TXN314682147,CUST2825851,154.44,23,2,online,online,1,224.46,-0.3119,0,0,1
TXN841467651,CUST2773834,313.07,15,2,suburban,pos,8,321.13,-0.0251,0,0,0
TXN994120377,CUST4928019,791.6,9,1,suburban,wire_transfer,3,914.14,-0.1341,0,0,0
TXN165789112,CUST7640351,69.69,14,0,urban,online,11,53.99,0.2908,0,0,0
TXN629606252,CUST1026457,67.3,18,2,online,pos,16,64.23,0.0478,0,0,0
TXN764546377,CUST1881952,171.98,14,3,suburban,online,11,220.19,-0.219,0,0,0
TXN640040736,CUST8737324,233.37,11,4,urban,pos,4,182.8,0.2767,0,0,0
TXN197740128,CUST7866435,167.12,21,4,suburban,atm,13,196.05,-0.1475,0,0,0
TXN996350641,CUST6179168,49.65,14,4,suburban,online,5,39.43,0.2591,0,0,0
TXN107007441,CUST1804087,626.7,10,0,suburban,wire_transfer,12,754.17,-0.169,0,0,0
TXN185158634,CUST8059002,68.84,14,0,urban,pos,8,94.45,-0.2711,0,0,0
TXN450425426,CUST4519637,230.55,12,0,suburban,pos,14,204.41,0.1279,0,0,0
TXN716101813,CUST6275739,302.58,18,3,rural,contactless,9,284.65,0.063,0,0,0
TXN679560062,CUST4030568,89.54,11,1,online,pos,19,57.35,0.5612,0,0,0
TXN410223252,CUST8927745,885.06,16,4,urban,online,8,801.15,0.1047,0,0,0
TXN335337924,CUST3956480,202.02,11,0,online,online,16,131.75,0.5334,0,0,0
TXN802937478,CUST6327696,391.23,20,1,suburban,atm,1,354.1,0.1049,0,0,0
TXN741669141,CUST2533945,142.69,21,3,urban,atm,7,88.34,0.6153,0,0,0
TXN567579350,CUST3935082,219.74,18,2,urban,contactless,6,270.88,-0.1888,0,0,0
TXN363468833,CUST4251923,150.83,12,6,rural,atm,16,189.03,-0.2021,0,1,0
TXN147010361,CUST3830547,101.63,21,5,online,pos,1,76.2,0.3337,0,1,0
TXN891434997,CUST3576723,572.4,10,3,rural,online,15,529.51,0.081,0,0,0
TXN731994521,CUST3897465,380.91,11,5,urban,online,17,546.24,-0.3027,0,1,0
TXN283068740,CUST6914840,90.42,18,4,rural,contactless,9,104.96,-0.1385,0,0,0
TXN215450105,CUST6390815,236.65,19,1,urban,pos,11,218.14,0.0848,0,0,0
TXN826014772,CUST5094883,73.19,14,5,suburban,contactless,3,97.62,-0.2503,0,1,0
TXN417428334,CUST5102035,33.91,14,2,suburban,atm,12,22.06,0.5375,0,0,0
TXN721701667,CUST7595947,372.7,19,4,suburban,atm,4,545.87,-0.3172,0,0,0
TXN943925979,CUST6008028,615.81,13,6,international,pos,3,308.62,0.9954,0,1,0
TXN520586204,CUST7693349,285.87,17,2,urban,online,16,401.72,-0.2884,0,0,0
TXN756039483,CUST9738820,178.35,20,6,urban,contactless,9,164.32,0.0854,0,1,0
TXN305076944,CUST6767322,1179.65,17,3,online,online,10,1750.67,-0.3262,0,0,0
TXN154373959,CUST8751191,733.41,10,4,suburban,pos,9,926.25,-0.2082,0,0,0
